order_id,customer_id,amount
1,101,250.0
2,102,150.0
3,103,800.0
4,104,100.0
5,105,500.0
6,106,350.0
7,107,90.0
8,108,620.0
9,109,150.0
10,110,410.0
11,111,700.0
12,112,50.0
13,113,950.0
14,114,300.0
15,115,150.0
16,116,400.0
17,117,80.0
18,118,520.0
19,119,210.0
20,120,600.0
21,121,150.0
22,122,600.0
23,123,450.0
24,124,100.0
25,125,850.0
26,126,300.0
27,127,95.0
28,128,110.0
29,129,400.0
30,130,120.0
31,131,100.0
32,132,850.0
33,133,300.0
34,134,120.0
35,135,150.0
36,136,45.0
37,137,600.0
38,138,90.0
39,139,250.0
40,140,75.0
41,101,300.0
42,102,450.0
43,103,220.0
44,104,90.0
45,105,600.0
46,106,120.0
47,107,400.0
48,108,110.0
49,109,250.0
50,110,85.0
51,111,150.0
52,112,120.0
53,113,400.0
54,114,250.0
55,115,600.0
56,116,30.0
57,117,150.0
58,118,30.0
59,119,600.0
60,120,110.0
61,121,200.0
62,122,90.0
63,123,520.0
64,124,150.0
65,125,400.0
66,126,600.0
67,127,150.0
68,128,250.0
69,129,80.0
70,130,500.0
71,131,150.0
72,132,400.0
73,133,150.0
74,134,110.0
75,135,40.0
76,136,90.0
77,137,30.0
78,138,500.0
79,139,110.0
80,140,600.0
81,101,120.0
82,102,50.0
83,103,15.0
84,104,130.0
85,105,50.0
86,106,200.0
87,107,30.0
88,108,150.0
89,109,100.0
90,110,120.0
91,111,200.0
92,112,80.0
93,113,110.0
94,114,80.0
95,115,150.0
96,116,150.0
97,117,110.0
98,118,250.0
99,119,90.0
100,120,75.0
101,121,350.0
102,122,30.0
103,123,90.0
104,124,500.0
105,125,110.0
106,126,40.0
107,127,120.0
108,128,150.0
109,129,500.0
110,130,90.0
111,131,600.0
112,132,95.0
113,133,40.0
114,134,110.0
115,135,75.0
116,136,500.0
117,137,210.0
118,138,45.0
119,139,120.0
120,140,500.0
121,101,45.0
122,102,120.0
123,103,500.0
124,104,95.0
125,105,300.0
126,106,450.0
127,107,110.0
128,108,250.0
129,109,320.0
130,110,600.0
131,111,90.0
132,112,210.0
133,113,130.0
134,114,500.0
135,115,75.0
136,116,120.0
137,117,600.0
138,118,85.0
139,119,400.0
140,120,310.0
141,121,80.0
142,122,500.0
143,123,110.0
144,124,40.0
145,125,120.0
146,126,75.0
147,127,310.0
148,128,90.0
149,129,45.0
150,130,150.0
151,131,120.0
152,132,600.0
153,133,75.0
154,134,400.0
155,135,310.0
156,136,110.0
157,137,90.0
158,138,150.0
159,139,600.0
160,140,95.0
