order_time,total_sales
2020-01-01,3361.28
2020-01-02,2350.86
2020-01-03,2163.81
2020-01-04,2792.75
2020-01-05,2024.13
2020-01-06,2566.29
2020-01-07,3155.43
2020-01-08,3043.45
2020-01-09,1713.96
2020-01-10,2151.94
2020-01-11,1140.02
2020-01-12,1715.15
2020-01-13,1822.05
2020-01-14,800.8100000000001
2020-01-15,1648.15
2020-01-16,3029.2
2020-01-17,2894.66
2020-01-18,3492.7
2020-01-19,2070.5
2020-01-20,1603.16
2020-01-21,2283.18
2020-01-22,512.59
2020-01-23,2050.61
2020-01-24,1348.22
2020-01-25,3684.67
2020-01-26,1276.34
2020-01-27,2809.9
2020-01-28,2208.41
2020-01-29,2568.03
2020-01-30,2021.45
2020-01-31,1295.18
2020-02-01,3989.31
2020-02-02,1591.24
2020-02-03,2614.82
2020-02-04,2174.69
2020-02-05,1786.81
2020-02-06,3547.18
2020-02-07,1713.9199999999998
2020-02-08,1323.13
2020-02-09,2049.16
2020-02-10,1456.12
2020-02-11,1355.04
2020-02-12,1966.78
2020-02-13,1822.72
2020-02-14,1758.5
2020-02-15,2444.8
2020-02-16,1629.99
2020-02-17,1749.7199999999998
2020-02-18,1917.07
2020-02-19,1000.0300000000001
2020-02-20,4580.59
2020-02-21,2589.63
2020-02-22,1728.52
2020-02-23,3803.15
2020-02-24,1765.17
2020-02-25,509.73
2020-02-26,1967.93
2020-02-27,2153.11
2020-02-28,1458.98
2020-02-29,2710.98
2020-03-01,1313.3
2020-03-02,1184.55
2020-03-03,1688.72
2020-03-04,2067.92
2020-03-05,1775.05
2020-03-06,1102.4
2020-03-07,2705.23
2020-03-08,3945.29
2020-03-09,1521.93
2020-03-10,2183.92
2020-03-11,1433.0
2020-03-12,2314.85
2020-03-13,1082.81
2020-03-14,2468.93
2020-03-15,1405.44
2020-03-16,2632.79
2020-03-17,2024.5
2020-03-18,2021.08
2020-03-19,1811.31
2020-03-20,1461.27
2020-03-21,2683.86
2020-03-22,1645.19
2020-03-23,3214.75
2020-03-24,1783.71
2020-03-25,1828.44
2020-03-26,2057.04
2020-03-27,2764.29
2020-03-28,1503.61
2020-03-29,2692.08
2020-03-30,2130.0
2020-03-31,2042.6000000000001
2020-04-01,2397.74
2020-04-02,2389.2
2020-04-03,1446.83
2020-04-04,2079.97
2020-04-05,2563.34
2020-04-06,3440.13
2020-04-07,2535.86
2020-04-08,2247.56
2020-04-09,3391.13
2020-04-10,1838.06
2020-04-11,2919.08
2020-04-12,2105.4300000000003
2020-04-13,2021.03
2020-04-14,2093.37
2020-04-15,1729.09
2020-04-16,1433.1599999999999
2020-04-17,2503.61
2020-04-18,1795.84
2020-04-19,2966.04
2020-04-20,1562.03
2020-04-21,2065.33
2020-04-22,1854.05
2020-04-23,1614.85
2020-04-24,1288.6799999999998
2020-04-25,2858.57
2020-04-26,2940.1200000000003
2020-04-27,1924.7
